sku,name,size,pattern,ply,designModel,retailPrice,wholesalePrice,stock,image
BTG-001,"10.00-20","10.00-20","Flaps",,"Zess",6525,7021,69,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-002,"7.00-15","7.00-15","Flaps",,"Local",9988,2301,88,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-003,"7.50-16","7.50-16","Flaps",,"Local",5524,9708,55,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-004,"Air Pressure Bucket","","Gadgets",,"BTG",5434,3237,106,"https://i.ibb.co/JjJJYK0y/1.jpg"
BTG-005,"Air Pressure Meter","","Gadgets",,"BTG",7222,9673,13,"https://i.ibb.co/JR787JRT/1.jpg"
BTG-006,"Air Pressure Nozzle","","Gadgets",,"BTG",3667,934,107,"https://i.ibb.co/KpJBdXF7/1.jpg"
BTG-007,"Bend Nozzle","","Gadgets",,"BTG",5785,4417,24,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-008,"Dunlope Nozzles(Black)","","Gadgets",,"BTG",5402,9109,73,"https://i.ibb.co/DDqSj8WM/1.jpg"
BTG-009,"Dunlope Nozzles(small)","","Gadgets",,"BTG",5627,3728,24,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-010,"Dunlope Nozzles(White)","","Gadgets",,"BTG",1809,7698,93,"https://i.ibb.co/GQ41R4vn/1.jpg"
BTG-011,"Air Pressure Nozzle","","Gadgets & Tools",,"BTG",8162,2145,16,"https://i.ibb.co/KpJBdXF7/1.jpg"
BTG-012,"Repair Kit","","Gadgets",,"BTG",8200,1080,52,"https://i.ibb.co/j9CsrWQZ/1.jpg"
BTG-013,"Steel Nozzle _ Nutt Nozzle","","Gadgets",,"BTG",1805,6746,87,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-014,"Vulp pin","","Gadgets",,"BTG",4145,4667,41,"https://i.ibb.co/jP2Yfpm4/1.jpg"
BTG-015,"#4","#4","Patches",,"BTG",8831,4343,88,"https://i.ibb.co/4ZWYFDft/1.jpg"
BTG-016,"#5","#5","Patches",,"BTG",4625,4637,17,"https://i.ibb.co/3Ym1B2Jz/2.png"
BTG-017,"#6","#6","Patches",,"BTG",4755,9408,71,"https://i.ibb.co/fY0s8Y10/1.jpg"
BTG-018,"ct 10","ct 10","Patches",,"BTG",8941,9040,37,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-019,"ct 12","ct 12","Patches",,"BTG",10681,5997,31,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-020,"ct 14","ct 14","Patches",,"BTG",9532,4817,81,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-021,"Elephent Patch 25 & 50","Elephent Patch 25 & 50","Patches",,"BTG",1462,9322,11,"https://i.ibb.co/m5fT6KJ3/11.jpg"
BTG-022,"Gazi Solution","","Patches",,"BTG",6955,3988,14,"https://i.ibb.co/h1VVXTrD/1.jpg"
BTG-023,"M25","M25","Patches",,"BTG",8061,5450,15,"https://i.ibb.co/LzrWQf7P/1.png"
BTG-024,"M50","M50","Patches",,"BTG",4404,8444,88,"https://i.ibb.co/rBpRFQm/1.jpg"
BTG-025,"Mini C50","Mini C50","Patches",,"BTG",6112,9390,90,"https://i.ibb.co/whTphkV4/1.jpg"
